subject_nr,response_time_reproduction,context,exp_dur
3,68,long,[short_dur]
3,1336,long,[long_dur]
3,657,long,[short_dur]
3,36,long,[long_dur]
3,952,long,[long_dur]
3,1409,long,[short_dur]
3,1097,long,[long_dur]
3,1119,long,[short_dur]
3,852,long,[short_dur]
3,1556,long,[long_dur]
3,994,long,[long_dur]
3,1350,long,[short_dur]
3,925,long,[long_dur]
3,1022,long,[short_dur]
3,1135,long,[long_dur]
3,744,long,[short_dur]
3,982,long,[long_dur]
3,781,long,[short_dur]
3,1079,long,[long_dur]
3,846,long,[short_dur]
3,879,long,[short_dur]
3,507,long,[long_dur]
3,1275,long,[short_dur]
3,1020,long,[short_dur]
3,1094,long,[long_dur]
3,1177,long,[long_dur]
3,1107,long,[short_dur]
3,924,long,[short_dur]
3,1277,long,[long_dur]
3,678,short,[short_dur]
3,606,short,[short_dur]
3,965,short,[long_dur]
3,805,short,[short_dur]
3,971,short,[long_dur]
3,763,short,[short_dur]
3,927,short,[long_dur]
3,668,short,[short_dur]
3,1590,short,[short_dur]
3,1335,short,[long_dur]
3,1420,short,[long_dur]
3,334,short,[short_dur]
3,395,short,[long_dur]
3,289,short,[long_dur]
3,101,short,[long_dur]
3,332,short,[short_dur]
3,107,short,[long_dur]
3,26,short,[long_dur]
3,20,short,[short_dur]
3,3,short,[short_dur]
3,19,short,[short_dur]
3,624,short,[long_dur]
3,780,short,[long_dur]
3,425,short,[short_dur]
3,813,short,[short_dur]
3,375,short,[long_dur]
3,17,short,[long_dur]
3,11,short,[short_dur]
3,17,short,[short_dur]
3,30,short,[long_dur]
3,22,short,[long_dur]
3,7,short,[short_dur]
3,2065,short,[short_dur]
3,690,short,[long_dur]
3,921,short,[short_dur]
3,2820,short,[long_dur]
3,441,short,[short_dur]
3,1027,short,[long_dur]
3,649,short,[short_dur]
3,896,short,[long_dur]
3,803,short,[long_dur]
3,692,short,[long_dur]
3,548,short,[short_dur]
3,1176,short,[long_dur]
3,707,short,[short_dur]
3,656,short,[short_dur]
3,467,short,[short_dur]
3,892,short,[long_dur]
3,1100,short,[long_dur]
3,947,short,[long_dur]
3,11,short,[short_dur]
3,8,short,[short_dur]
3,4,short,[long_dur]
3,18,short,[short_dur]
3,12,short,[long_dur]
3,20,short,[long_dur]
3,53,short,[long_dur]
3,1155,short,[short_dur]
3,499,short,[short_dur]
3,18,short,[short_dur]
4,889,0,[short_dur]
4,911,0,[short_dur]
4,750,0,[long_dur]
4,611,0,[long_dur]
4,949,0,[short_dur]
4,845,0,[short_dur]
4,864,0,[long_dur]
4,842,0,[short_dur]
4,866,0,[short_dur]
4,431,0,[long_dur]
4,439,0,[long_dur]
4,357,0,[short_dur]
4,678,0,[long_dur]
4,732,0,[short_dur]
4,949,0,[short_dur]
4,711,0,[long_dur]
4,861,0,[long_dur]
4,389,0,[long_dur]
4,739,0,[short_dur]
4,805,0,[long_dur]
4,888,long,[short_dur]
4,788,long,[short_dur]
4,883,long,[long_dur]
4,726,long,[long_dur]
4,890,long,[short_dur]
4,856,long,[long_dur]
4,708,long,[short_dur]
4,816,long,[long_dur]
4,866,long,[long_dur]
4,964,long,[short_dur]
4,1100,long,[long_dur]
4,657,long,[long_dur]
4,806,long,[short_dur]
4,659,long,[long_dur]
4,867,long,[short_dur]
4,571,long,[short_dur]
4,648,long,[long_dur]
4,463,long,[long_dur]
4,910,long,[short_dur]
4,708,long,[short_dur]
4,782,long,[long_dur]
4,465,long,[short_dur]
4,931,long,[long_dur]
4,699,long,[short_dur]
4,556,long,[short_dur]
4,847,long,[long_dur]
4,792,long,[short_dur]
4,920,long,[long_dur]
4,796,long,[long_dur]
4,745,long,[short_dur]
4,752,long,[short_dur]
4,542,long,[short_dur]
4,766,long,[long_dur]
4,920,long,[short_dur]
4,928,long,[short_dur]
4,575,long,[short_dur]
4,841,long,[short_dur]
4,739,long,[long_dur]
4,504,long,[long_dur]
4,621,long,[long_dur]
4,799,long,[long_dur]
4,775,long,[long_dur]
4,854,long,[short_dur]
4,510,long,[long_dur]
4,562,long,[short_dur]
4,427,long,[long_dur]
4,732,long,[long_dur]
4,427,long,[long_dur]
4,565,long,[short_dur]
4,614,long,[short_dur]
4,641,long,[long_dur]
4,446,long,[short_dur]
4,365,long,[short_dur]
4,969,long,[long_dur]
4,422,long,[short_dur]
4,519,long,[long_dur]
4,842,long,[short_dur]
4,550,long,[long_dur]
4,764,long,[short_dur]
4,1091,long,[long_dur]
4,881,short,[long_dur]
4,600,short,[short_dur]
4,647,short,[long_dur]
4,667,short,[long_dur]
4,537,short,[long_dur]
4,478,short,[long_dur]
4,427,short,[long_dur]
4,39,short,[long_dur]
4,630,short,[long_dur]
4,809,short,[long_dur]
4,743,short,[long_dur]
4,682,short,[short_dur]
4,468,short,[short_dur]
4,691,short,[short_dur]
4,597,short,[short_dur]
4,801,short,[long_dur]
4,876,short,[short_dur]
4,919,short,[short_dur]
4,583,short,[short_dur]
4,780,short,[long_dur]
4,552,short,[long_dur]
4,698,short,[long_dur]
4,494,short,[short_dur]
4,461,short,[short_dur]
4,655,short,[short_dur]
4,537,short,[short_dur]
4,528,short,[short_dur]
4,1029,short,[short_dur]
4,693,short,[short_dur]
4,645,short,[long_dur]
4,670,short,[short_dur]
4,521,short,[short_dur]
4,503,short,[long_dur]
4,494,short,[long_dur]
4,769,short,[long_dur]
4,780,short,[short_dur]
4,627,short,[long_dur]
4,728,short,[long_dur]
4,818,short,[short_dur]
4,604,short,[short_dur]
4,645,short,[long_dur]
4,458,short,[long_dur]
4,760,short,[long_dur]
4,601,short,[long_dur]
4,833,short,[short_dur]
4,687,short,[short_dur]
4,629,short,[long_dur]
4,422,short,[long_dur]
4,230,short,[short_dur]
4,414,short,[long_dur]
4,319,short,[long_dur]
4,474,short,[long_dur]
4,504,short,[short_dur]
4,512,short,[short_dur]
4,849,short,[long_dur]
4,516,short,[short_dur]
4,91,short,[short_dur]
4,718,short,[short_dur]
4,865,short,[short_dur]
4,582,short,[short_dur]
5,1581,0,[short_dur]
5,750,0,[long_dur]
5,1270,0,[short_dur]
5,327,0,[long_dur]
5,1314,0,[short_dur]
5,1570,0,[short_dur]
5,1257,0,[short_dur]
